,account_length,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls
26,76.0,0.0,212.6,110.0,36.14,172.7,97.0,14.68,186.3,78.0,8.38,10.1,5.0,2.73,0.0
27,72.0,0.0,101.0,110.0,17.17,240.0,70.0,20.4,333.5,105.0,15.01,11.1,6.0,3.0,0.0
28,115.0,6.0,184.68,125.0,23.82,157.9,100.0,15.732,249.4,96.0,11.22,10.1,3.0,2.73,1.0
29,68.0,0.0,150.4,106.0,25.57,192.0,131.0,16.8,109.7,103.0,4.94,12.3,3.4,3.32,3.0
30,60.0,37.0,189.9,125.0,32.28,110.4,107.0,9.38,210.7,115.0,9.48,9.1,5.0,2.46,3.0
31,97.0,0.0,100.8,74.0,17.14,233.8,88.0,19.87,208.7,79.0,9.39,12.6,3.0,3.4,2.0
32,92.0,0.0,138.1,131.0,23.48,175.7,128.0,14.93,192.7,119.0,8.67,10.0,3.0,2.7,3.0
33,178.0,0.0,179.7,112.0,30.55,276.6,91.0,23.51,169.7,101.0,7.64,10.1,4.6,2.73,3.0
34,90.0,30.0,191.3,104.0,32.52,257.1,109.0,21.85,177.7,89.0,8.0,11.0,1.0,2.97,1.0
35,72.0,0.0,168.3,76.0,33.302,212.4,126.0,18.05,200.2,132.0,9.01,12.0,3.0,3.24,2.0
36,73.0,0.0,137.6,113.0,23.39,179.7,75.0,15.27,172.8,71.0,7.78,9.319999999999999,2.0,2.89,1.0
37,54.0,0.0,255.4,122.0,43.42,22.3,87.0,15.585999999999999,152.6,72.0,6.87,11.1,3.2,3.0,0.0
38,161.0,0.0,166.2,125.0,26.01,279.4,78.0,23.75,181.0,85.0,8.026,13.4,6.0,3.62,1.0
39,125.0,0.0,158.7,112.0,26.98,155.7,126.0,13.23,246.0,110.0,11.07,8.3,1.0,2.24,2.0
40,194.0,0.0,201.04000000000002,103.4,43.91,306.0,88.0,20.622,241.8,106.0,10.88,13.6,4.0,3.67,1.0
41,69.0,40.0,77.0,106.0,13.09,161.7,94.0,13.74,188.6,82.0,8.49,12.5,3.2,3.38,1.0
42,141.0,33.0,168.4,84.8,28.63,185.1,106.0,15.73,220.0,78.0,9.9,11.0,4.0,2.97,2.0
43,98.0,11.0,307.2,65.0,52.22,138.6,97.0,11.78,381.6,99.0,8.538,10.2,4.0,2.75,2.0
44,110.0,0.0,175.6,91.0,29.85,236.5,127.0,20.1,170.7,114.0,8.77,9.5,8.0,2.57,0.0
45,70.0,0.0,169.1,48.0,27.022000000000002,219.8,62.0,18.68,193.5,105.0,8.71,10.7,8.0,2.89,3.0
46,72.0,0.0,190.7,111.0,32.42,241.6,103.0,20.54,278.1,95.0,12.51,4.4,3.0,1.19,1.0
47,66.0,0.0,239.6,120.0,40.73,230.3,110.0,19.58,153.0,82.0,6.89,11.24,3.0,2.872,1.0
48,79.0,0.0,121.3,112.0,20.62,282.8,107.0,24.04,187.06,83.0,5.54,7.4,4.0,2.838,1.0
49,61.0,0.0,208.4,102.0,35.43,326.1,96.0,27.72,201.9,73.0,9.09,8.9,8.0,2.73,1.0
50,97.0,0.0,230.6,131.0,39.2,261.3,136.0,22.21,157.1,96.0,7.07,6.8,4.0,1.84,0.0
51,63.0,0.0,154.94,95.0,19.13,211.2,67.0,20.049999999999997,227.5,96.0,10.24,11.1,8.0,3.0,0.0
52,77.0,36.0,172.2,104.4,26.208,161.6,112.0,13.74,259.7,115.0,11.69,11.8,4.0,2.4899999999999998,2.0
53,73.0,0.0,195.3,97.0,33.2,96.8,89.0,8.23,243.1,84.0,10.94,16.2,13.0,4.37,1.0
54,105.0,0.0,167.7,93.0,28.51,234.1,103.0,19.9,169.7,121.0,7.64,6.9,5.0,1.86,3.0
55,159.0,0.0,180.1,103.0,30.62,193.4,148.0,16.44,251.2,109.0,11.3,12.9,5.0,3.62,0.0
56,83.0,0.0,129.6,81.0,22.03,189.7,117.0,16.12,274.91999999999996,118.0,9.86,9.8,4.0,2.65,2.0
57,93.0,0.0,215.5,108.0,36.64,230.9,70.0,19.63,144.1,134.0,6.48,9.419999999999998,4.0,3.56,0.0
58,106.0,22.0,218.6,83.0,33.866,244.4,70.0,16.601999999999997,132.4,99.0,5.96,9.1,6.0,2.46,1.0
59,98.0,0.0,211.9,70.8,36.02,224.6,95.0,17.696,233.0,81.0,10.49,9.9,3.0,2.67,2.0
60,163.0,0.0,82.0,95.0,13.94,125.2,103.0,10.64,225.5,107.0,7.71,8.0,4.0,2.16,1.0
61,169.0,22.0,149.1,103.0,25.35,207.2,91.0,17.61,265.4,92.0,11.94,11.4,7.0,3.08,2.0
62,111.0,0.0,304.6,56.0,32.434000000000005,157.6,101.0,14.25,188.2,116.0,8.47,12.4,1.0,3.35,1.0
63,163.0,0.0,277.7,85.4,47.21,115.3,91.0,9.8,170.3,90.0,7.66,10.4,8.0,2.81,0.0
64,57.0,0.0,187.70000000000002,99.0,26.38,214.1,98.0,18.2,241.0,64.0,10.85,9.62,7.0,2.03,1.0
65,117.0,0.0,198.5,75.0,33.75,179.8,92.0,15.28,234.1,102.6,10.53,10.6,6.0,2.86,0.0
66,85.0,0.0,209.1,57.0,28.756,110.7,101.2,9.41,113.3,113.0,7.717999999999999,12.8,4.0,3.46,1.0
67,132.0,27.2,200.0,104.0,34.0,149.6,101.0,12.72,137.1,110.0,6.17,18.9,2.0,5.1,1.0
68,190.0,0.0,196.1,95.0,33.34,228.3,88.0,19.41,243.6,95.0,10.96,7.6,3.0,2.05,3.0
69,39.0,0.0,121.6,99.0,20.67,267.6,81.4,22.75,99.7,88.0,7.703999999999999,7.1,2.0,1.92,1.0
70,84.0,0.0,204.1,99.4,35.48,164.4,117.0,13.578,165.1,123.0,7.43,0.0,0.0,2.694,1.0
71,71.0,0.0,212.1,114.0,36.06,235.9,91.0,20.05,207.7,135.0,9.35,11.3,6.0,3.05,4.0
72,114.0,0.0,188.86,86.0,30.31,176.5,99.0,15.0,187.1,83.0,8.42,13.8,2.0,3.73,1.0
73,135.0,0.0,181.8,100.4,30.91,159.6,63.0,13.57,232.4,78.0,10.46,10.8,4.6,1.89,0.0
74,93.0,0.0,120.6,104.0,20.5,205.5,97.2,17.47,192.39999999999998,107.0,8.21,9.6,6.0,2.59,2.0
75,82.0,0.0,172.4,112.0,27.726,131.7,89.0,11.19,182.8,78.0,8.23,8.8,4.4,2.38,1.0
76,64.0,0.0,160.6,110.0,27.3,224.88000000000002,97.0,14.61,105.2,56.0,4.73,7.3,2.0,1.97,0.0
77,76.0,12.0,98.4,77.2,25.907999999999998,187.5,119.0,15.94,177.0,68.0,7.97,15.1,3.0,4.08,1.0
78,112.0,24.8,109.0,126.0,18.53,193.38000000000002,106.0,16.41,208.3,92.0,9.37,7.9,3.0,2.13,1.0
79,113.0,0.0,122.4,98.0,20.81,223.8,116.0,17.824,267.5,148.0,9.292,11.6,5.0,3.13,3.0
80,137.0,0.0,144.5,119.0,24.57,167.3,89.0,14.22,142.21999999999997,76.0,7.4239999999999995,6.1,4.0,1.65,5.0
81,128.0,0.0,102.5,87.0,17.43,141.26000000000002,97.0,15.06,226.0,121.2,10.17,8.7,5.0,2.6759999999999997,1.0
82,84.0,0.0,274.1,119.0,46.6,144.1,123.0,14.597999999999995,268.2,100.0,12.07,9.9,4.4,2.67,2.0
83,140.0,0.0,193.1,82.0,32.83,260.3,107.0,22.13,241.3,93.0,10.86,13.3,5.0,3.59,2.0
84,106.0,5.8,182.8,96.0,28.776,208.62000000000003,93.0,17.832,219.5,113.0,9.88,7.7,2.0,2.08,2.0
85,166.0,7.8,148.4,86.0,25.23,170.6,119.0,14.5,201.5,124.0,9.07,11.3,12.0,3.05,1.0
86,137.0,0.0,75.8,107.0,23.938,256.9,98.0,21.84,204.4,118.0,9.2,10.5,3.0,2.84,2.0
87,161.0,0.0,198.0,101.4,33.66,186.4,102.0,15.84,215.63999999999996,90.0,9.86,9.3,2.0,2.384,1.0
88,120.0,0.0,253.2,95.0,43.04,210.8,86.0,17.92,253.9,81.0,11.43,9.5,4.0,2.57,5.0
89,187.0,25.0,199.9,64.0,32.763999999999996,134.6,110.0,13.713999999999999,210.4,78.0,9.47,11.7,4.8,3.16,3.0
90,102.0,25.0,189.16,105.0,31.88,272.3,88.0,23.15,216.4,91.0,9.74,11.7,2.0,2.62,2.0
91,82.0,0.0,183.6,111.0,31.21,303.5,88.0,25.8,189.8,115.0,8.54,10.3,6.0,2.78,0.0
92,100.0,21.0,86.1,95.0,14.64,189.9,126.0,16.14,201.3,113.0,9.074,11.7,4.0,3.16,0.0
93,45.0,0.0,126.8,83.0,21.56,157.8,100.0,13.41,158.3,97.0,7.12,11.0,4.0,2.216,3.0
94,114.0,0.0,108.3,95.0,18.41,168.3,104.0,14.31,153.1,109.0,6.89,9.1,5.0,2.46,1.0
95,43.0,0.0,160.5,100.4,27.29,235.8,121.0,20.04,111.8,95.0,5.03,13.8,5.0,3.73,1.0
96,103.0,0.0,180.44,81.0,25.04,158.4,88.0,13.447999999999999,193.8,103.0,8.72,11.0,3.0,2.97,2.0
97,57.0,0.0,165.1,91.0,28.07,240.8,56.0,21.262,277.0,100.0,12.47,9.5,3.0,2.57,2.0
98,52.0,31.0,122.2,88.0,29.195999999999998,139.0,100.0,11.82,141.9,141.0,6.39,5.7,10.0,1.54,3.0
99,74.0,0.0,156.3,102.0,26.57,273.1,118.0,23.21,215.8,86.6,9.71,9.0,4.0,2.43,3.0
100,74.0,46.0,277.7,109.0,47.21,249.26,96.8,22.95,165.3,82.0,7.44,10.4,2.0,2.81,1.0
101,40.0,21.0,147.4,100.0,25.06,262.8,106.8,19.705999999999996,202.0,97.0,9.09,10.9,5.0,2.5699999999999994,0.0
102,83.0,0.0,228.4,113.0,38.83,163.3,103.0,13.88,248.0,114.0,11.16,7.8,6.0,2.11,1.0
103,102.0,0.0,184.6,133.0,31.38,166.8,94.0,14.18,225.2,105.0,10.13,11.56,8.0,1.84,1.0
104,92.0,0.0,87.6,89.0,14.89,172.3,133.0,14.65,153.4,88.0,6.9,8.0,4.0,2.16,1.0
105,79.0,25.0,219.0,95.0,37.23,241.9,95.0,20.56,203.4,102.0,9.15,12.620000000000001,5.0,1.51,4.0
106,110.0,0.0,220.9,100.0,37.55,279.6,76.0,14.75,239.8,107.0,10.79,13.5,9.0,3.65,1.0
107,69.0,27.0,189.43999999999997,104.0,32.03,320.6,128.0,27.25,161.7,120.0,7.28,9.7,7.0,2.62,1.0
108,56.0,0.0,254.8,83.0,43.32,194.0,98.0,18.206,198.2,118.0,8.38,13.5,2.0,3.65,4.0
109,133.0,5.0,338.4,86.0,57.53,234.6,97.0,19.94,264.8,139.0,11.92,14.8,4.0,4.0,3.0
110,119.0,9.2,168.2,81.0,28.59,283.3,105.0,24.08,243.8,136.0,10.97,10.7,3.0,2.89,1.0
111,131.0,0.0,132.7,114.0,24.33,168.8,119.0,11.74,199.4,100.0,8.97,8.9,3.0,2.4,3.0
112,60.0,10.8,118.3,113.0,19.974,137.83999999999997,97.0,11.716,172.8,78.0,7.78,9.4,4.0,2.54,1.0
113,118.0,0.0,256.5,115.0,43.61,182.4,79.0,11.5,208.3,131.0,9.37,8.48,5.0,2.03,0.0
114,92.0,0.0,185.9,111.0,31.6,216.8,93.0,18.224,231.0,58.0,10.4,9.940000000000001,2.0,2.3,1.0
115,52.0,7.8,219.0,100.0,37.23,148.9,110.0,12.66,167.74,103.2,6.83,11.9,8.0,3.21,3.0
116,135.0,18.0,180.1,90.0,30.62,207.51999999999998,65.0,12.96,258.2,85.0,11.62,12.7,9.0,3.43,1.0
117,107.0,6.4,114.9,119.0,19.53,239.7,91.0,20.37,165.3,112.0,7.44,12.6,5.0,3.4,2.0
118,110.0,0.0,158.6,97.0,26.96,204.4,98.4,17.37,182.5,123.0,8.21,11.3,3.0,3.05,2.0
119,109.0,6.2,244.2,147.0,41.51,199.7,65.0,16.97,147.08,118.4,6.5,15.4,3.0,4.16,2.0
120,90.0,0.0,180.0,58.0,31.482,212.7,88.0,19.5,162.2,110.0,7.3,13.2,9.0,3.56,1.0
121,117.0,0.0,240.2,97.2,40.83,215.35999999999999,108.2,15.97,152.7,102.0,6.87,7.0,19.0,1.89,3.0
122,57.0,7.8,234.4,120.0,39.85,155.3,120.0,13.2,130.5,103.0,5.87,9.4,4.0,2.54,1.0
123,115.0,0.0,134.7,104.0,23.02,138.8,91.0,11.8,208.5,92.0,9.38,5.4,3.0,2.572,1.0
124,73.0,0.0,272.4,112.0,34.822,252.2,91.0,19.131999999999998,255.4,112.0,11.49,10.9,5.0,2.452,1.0
125,127.0,13.2,190.88,95.0,44.69,143.16000000000003,126.0,14.95,202.1,101.0,9.09,7.5,5.0,2.03,1.0
126,79.0,0.0,66.7,124.0,11.34,204.0,91.0,17.34,254.7,110.0,11.46,15.1,2.0,4.08,1.0
127,33.0,33.0,221.4,96.6,37.64,276.1,86.0,23.47,222.9,102.0,10.03,10.1,4.0,2.73,1.0
128,110.0,0.0,191.45999999999998,99.0,32.61,227.3,123.0,19.32,176.0,110.0,7.92,8.180000000000001,4.0,3.56,1.0
129,133.0,0.0,240.8,112.4,40.94,202.7,62.0,17.23,212.9,76.0,9.58,7.7,3.8,2.08,1.0
130,145.0,0.0,170.5,101.0,28.99,206.5,112.0,15.714000000000002,194.3,106.0,8.74,9.8,1.0,2.65,3.0
131,47.0,40.0,158.3,90.0,26.91,213.2,71.0,18.12,123.0,132.0,5.54,14.0,2.0,3.78,2.0
132,53.0,24.0,201.7,87.0,31.51,251.7,97.0,18.646,297.4,95.0,13.38,7.9,5.0,2.13,0.0
133,148.0,0.0,197.24,102.0,28.7,248.1,125.0,21.09,250.7,96.0,11.28,10.6,4.0,2.86,1.0
134,72.0,0.0,169.04000000000002,98.0,24.12,182.68,63.0,15.99,115.2,49.0,5.18,12.0,5.0,3.102,2.0
135,96.0,0.0,193.8,75.0,31.04,188.6,67.0,16.03,137.7,81.0,6.2,9.5,6.4,2.57,5.0
136,113.0,28.0,264.4,93.0,44.95,222.8,108.6,18.94,213.7,88.0,9.62,10.0,4.0,2.7,1.0
137,55.0,0.0,203.7,80.0,34.63,230.2,81.8,19.57,120.3,48.0,5.41,9.4,1.0,2.79,3.0
138,143.0,0.0,191.6,53.0,32.57,157.3,104.0,13.372,195.8,125.0,8.81,10.879999999999999,9.0,2.89,3.0
139,60.0,0.0,136.4,147.0,23.19,219.9,101.0,18.69,99.7,73.0,4.49,10.959999999999999,3.0,1.89,0.0
140,90.0,30.0,162.24,103.0,28.59,220.9,75.0,18.78,224.3,105.0,10.09,8.2,2.0,2.21,0.0
141,170.0,34.0,125.3,128.0,21.3,240.6,104.0,17.84,261.38,109.0,10.95,7.0,3.0,1.89,3.0
142,65.0,0.0,217.9,89.0,37.04,238.8,101.0,20.3,194.4,105.0,8.75,6.6,4.0,1.78,0.0
143,93.0,0.0,198.1,93.0,33.68,236.1,95.0,20.07,127.3,121.0,5.73,12.6,4.0,3.4,2.0
144,117.0,17.6,197.16,81.0,30.4,304.46,85.0,24.32,229.4,128.0,10.32,8.819999999999999,5.0,1.92,1.0
145,96.0,18.0,262.9,57.0,44.69,190.2,107.0,15.782,293.5,103.0,13.21,11.8,4.0,3.19,3.0
146,101.0,0.0,164.6,85.0,27.98,204.9,72.0,17.42,136.4,104.0,6.14,11.5,5.0,3.11,0.0
147,60.0,0.0,197.0,130.0,33.49,219.2,105.0,18.63,102.8,113.0,4.63,12.6,4.0,3.4,1.0
148,157.0,0.0,102.9,94.0,17.49,229.1,96.0,19.418,198.7,129.0,8.94,13.6,2.0,3.67,1.0
149,89.0,0.0,144.2,74.0,25.78,164.7,119.0,14.0,279.2,121.0,12.56,12.1,7.0,2.7399999999999998,4.0
150,96.0,26.0,126.5,108.0,21.51,236.92000000000002,114.0,10.52,308.5,98.0,13.88,13.1,6.0,3.54,2.0
151,91.0,0.0,139.8,109.0,23.77,157.0,91.0,13.524000000000001,218.6,122.0,9.84,13.6,4.0,3.67,3.0
152,104.0,0.0,139.7,112.0,23.75,199.8,127.0,16.98,189.3,104.4,8.088,10.3,3.8,2.78,2.0
153,40.0,0.0,309.4,86.0,52.6,271.3,98.0,23.06,197.1,116.0,8.87,11.2,5.0,3.02,3.0
154,161.0,0.0,159.6,102.0,27.13,212.6,119.0,18.07,151.4,83.0,6.81,12.6,7.0,3.4,5.0
155,131.0,29.0,239.7,102.0,40.75,212.8,109.0,17.514000000000003,187.7,77.0,8.45,10.5,2.0,2.84,1.0
156,131.0,7.8,195.6,93.0,33.25,245.0,86.6,20.83,104.7,101.4,4.71,13.2,6.0,2.94,2.0
157,79.0,0.0,161.1,119.8,27.39,159.74000000000004,111.0,14.5,274.4,80.0,12.35,7.6,2.0,2.05,2.0
158,130.0,22.0,173.9,86.2,27.895999999999997,234.8,86.0,19.96,210.98000000000002,79.0,5.48,8.4,5.0,2.27,1.0
159,161.0,0.0,165.4,88.0,27.322000000000003,209.7,111.0,17.82,270.7,129.0,12.18,10.5,3.0,2.84,4.0
160,108.0,28.0,221.3,117.0,37.62,156.0,102.0,15.744,159.3,80.0,7.17,8.7,3.0,2.35,0.0
161,69.0,0.0,176.8,89.0,30.06,196.0,89.0,16.66,232.6,151.0,10.47,12.2,6.0,3.54,1.0
162,80.0,0.0,196.0,75.0,33.32,237.8,112.0,20.21,220.1,127.0,9.9,13.9,5.0,3.75,1.0
163,146.0,0.0,174.3,113.0,31.977999999999998,200.7,107.0,17.06,281.2,145.0,12.65,11.6,3.0,3.13,4.0
164,143.0,0.0,186.9,98.0,31.77,196.5,92.2,16.7,215.3,104.0,9.69,12.3,3.0,3.32,4.0
165,114.0,0.0,115.6,93.0,19.65,163.2,78.0,13.87,251.3,104.0,11.357999999999999,9.7,1.0,2.62,2.0
166,113.0,0.0,158.4,107.0,26.93,142.2,104.0,12.09,174.7,98.8,7.86,14.9,2.0,4.02,0.0
167,29.0,38.0,149.4,93.0,25.4,190.28000000000003,96.0,16.13,127.4,71.0,5.73,6.0,3.0,1.62,1.0
168,57.0,36.0,225.9,109.0,41.57,161.2,123.8,13.7,184.3,111.4,8.29,9.7,3.0,2.62,1.0
169,78.0,0.0,145.5,124.0,24.74,190.6,105.0,12.19,291.1,123.0,13.1,9.5,5.0,2.57,3.0
170,120.0,0.0,147.7,101.0,25.35,144.1,71.0,12.25,237.0,115.0,10.67,11.1,5.0,3.0,0.0
171,97.0,0.0,164.3,106.0,27.93,182.3,97.0,15.5,212.9,93.0,8.28,12.1,4.8,3.27,1.0
172,185.0,0.0,89.4,77.0,15.2,288.9,128.0,24.56,162.9,93.0,7.33,11.0,2.0,2.81,3.0
173,144.0,38.0,276.3,149.0,46.97,168.32,112.0,21.42,132.5,85.0,8.716,8.7,3.0,2.35,1.0
174,97.0,32.0,172.7,79.0,29.36,217.4,101.0,18.48,260.7,88.0,11.73,11.7,5.0,3.16,1.0
175,130.0,0.0,138.7,68.0,23.58,205.6,102.0,17.48,231.2,108.0,10.4,13.6,3.0,3.67,2.0
176,59.0,26.0,205.4,68.0,34.92,115.0,115.0,9.78,214.7,130.0,9.66,9.4,2.0,2.54,5.0
177,139.0,0.0,187.4,86.0,31.86,169.3,116.0,14.39,153.4,88.0,6.9,11.7,3.0,3.16,1.0
178,12.0,0.0,206.1,105.0,34.632,246.6,104.0,18.684,254.6,83.0,11.46,12.1,7.0,3.27,2.0
179,42.0,34.0,131.5,94.4,22.36,185.3,109.0,15.75,177.3,117.0,7.98,10.9,5.0,2.94,0.0
180,63.0,16.6,120.1,103.0,20.42,179.2,132.0,15.23,127.3,82.0,5.73,6.3,4.0,1.7,1.0
181,143.0,19.0,147.04000000000002,85.0,28.66,176.3,89.0,15.896,282.3,69.0,12.7,13.3,10.0,3.59,1.0
182,150.0,29.0,235.8,91.0,40.09,202.8,100.0,15.063999999999998,246.3,87.2,11.08,11.9,4.0,3.21,1.0
183,156.0,0.0,189.4,114.0,32.2,145.7,96.0,12.38,192.8,121.0,8.68,4.5,13.0,1.22,0.0
184,98.0,0.0,158.5,90.0,26.95,254.4,67.0,21.62,178.4,104.0,8.03,14.8,5.0,4.0,2.0
185,17.0,7.0,280.0,101.0,47.6,258.9,85.0,22.01,230.0,130.0,10.35,10.3,2.0,2.78,3.0
186,101.0,0.0,229.8,89.4,39.07,217.8,133.0,17.140000000000004,243.5,53.0,10.96,8.9,2.0,2.4,1.0
187,163.0,0.0,241.6,102.0,41.07,138.9,100.0,11.81,148.8,81.4,8.225999999999999,9.8,6.0,2.382,1.0
188,140.0,27.0,176.0,141.0,29.24,201.3,143.0,17.11,167.9,93.0,7.575999999999999,8.979999999999999,5.0,1.92,3.0
189,176.0,0.0,167.0,93.0,28.39,174.1,128.0,14.8,155.0,124.0,6.98,10.4,6.6,2.722,3.0
190,102.0,5.6,129.2,100.6,21.96,239.4,104.0,20.35,223.4,66.0,10.05,8.7,4.0,2.35,0.0
191,71.0,49.0,174.0,99.2,29.58,168.6,85.0,14.33,132.1,120.0,5.94,12.7,4.0,2.11,1.0
192,104.0,4.8,261.2,81.0,31.982,209.1,97.0,17.77,281.1,121.0,12.65,11.3,1.0,3.05,2.0
193,96.0,0.0,264.6,117.0,44.98,264.1,121.0,22.45,77.1,89.0,3.47,9.66,4.0,2.19,0.0
194,90.0,0.0,160.9,97.0,27.35,136.4,46.0,11.59,209.0,121.0,9.166,9.1,4.0,2.46,2.0
195,106.0,36.0,124.8,93.0,21.22,241.7,83.0,20.54,219.0,110.0,9.86,11.3,3.0,3.05,1.0
196,148.0,0.0,230.6,92.0,34.14399999999999,185.6,97.0,15.78,183.2,79.0,8.24,6.2,4.0,1.67,2.0
197,66.0,0.0,241.7,112.0,41.09,251.6,78.0,21.39,105.0,82.0,5.804,11.3,2.0,3.05,2.0
198,95.0,0.0,229.1,143.0,38.95,148.2,104.0,14.13,248.4,110.0,11.18,3.9,3.0,1.05,0.0
199,127.0,16.0,212.9,92.0,36.19,260.1,124.0,19.698,177.6,85.0,7.99,8.6,2.0,2.32,2.0
200,79.0,30.0,127.58,99.0,21.22,207.6,142.0,20.308,187.61999999999998,95.0,7.88,4.6,3.0,1.24,1.0
201,83.0,0.0,133.9,98.4,22.76,169.6,87.4,14.42,222.8,114.0,10.03,11.7,4.6,3.16,0.0
202,83.0,9.8,129.8,87.0,22.07,183.4,110.0,15.59,169.4,40.0,7.62,14.3,6.0,3.86,1.0
203,136.0,0.0,88.5,112.0,15.05,279.5,98.0,23.76,278.0,69.0,12.51,7.5,12.0,2.03,1.0
204,17.0,0.0,205.87999999999997,102.0,28.65,297.2,130.0,19.528,244.7,117.0,11.01,8.8,6.0,2.38,3.0
205,165.0,0.0,81.4,110.0,13.84,263.7,150.0,22.41,219.7,107.0,9.89,12.2,3.0,3.29,1.0
206,149.0,0.0,117.2,99.0,19.92,227.7,74.0,19.35,221.7,141.0,9.98,9.7,7.0,2.43,1.0
207,79.0,0.0,300.4,113.0,51.07,192.82,93.0,17.92,173.4,121.0,7.8,11.9,3.0,3.21,2.0
208,94.0,0.0,195.1,105.0,33.17,272.4,100.0,23.15,142.7,102.0,6.42,10.94,16.0,3.11,1.0
209,93.0,0.0,172.0,80.0,29.24,219.1,76.0,18.62,169.8,108.0,7.64,10.3,3.0,2.78,0.0
210,109.0,46.0,165.2,85.0,28.08,136.0,92.0,11.56,184.8,100.0,8.32,11.9,5.0,3.21,1.0
211,106.0,0.0,149.7,114.0,25.45,104.5,72.0,8.88,227.9,87.0,10.26,9.0,2.0,2.43,2.0
212,92.0,0.0,185.8,61.0,31.59,118.1,131.0,10.04,257.5,70.0,11.59,11.8,4.0,3.19,1.0
213,93.0,0.0,174.94,112.0,36.45,261.5,97.0,22.23,280.8,112.0,12.64,14.8,3.0,4.0,0.0
214,124.0,0.0,227.42,91.0,41.58,125.1,70.0,10.63,303.4,104.0,13.65,12.0,5.0,2.206,0.0
215,117.0,0.0,302.6,83.0,51.44,167.1,106.0,14.2,209.8,79.0,9.44,10.4,7.0,2.81,0.2
216,163.0,30.0,195.2,123.0,33.18,126.4,115.0,10.74,221.0,90.0,9.389999999999999,9.0,5.0,2.43,5.0
