,state,area_code,international_plan,voice_mail_plan,churn
72,WY,415.0,no,no,no
73,NE,415.0,no,no,no
74,CO,415.0,no,no,no
75,VA,415.0,no,no,no
76,WV,415.0,no,no,yes
77,AZ,408.0,no,yes,no
78,KS,415.0,no,no,no
79,NJ,408.0,yes,no,no
80,SD,415.0,no,no,yes
81,ND,408.0,no,no,no
82,SC,415.0,no,no,no
83,ID,510.0,no,no,no
84,TX,415.0,no,no,no
85,SD,510.0,no,yes,no
86,TN,408.0,no,no,no
87,TN,415.0,no,no,no
88,DE,415.0,no,no,yes
89,TN,510.0,no,yes,no
90,OR,415.0,no,yes,no
91,IA,408.0,no,no,no
92,MI,510.0,no,yes,no
93,AR,408.0,no,no,no
94,TN,415.0,no,no,no
95,WV,408.0,yes,no,yes
96,IL,408.0,no,no,no
97,DE,510.0,no,no,no
98,NC,408.0,no,yes,no
99,IA,408.0,no,no,no
100,AL,408.0,no,yes,no
101,HI,415.0,yes,yes,no
102,PA,415.0,no,no,no
103,RI,510.0,no,no,no
104,LA,510.0,no,no,no
105,DC,408.0,no,yes,no
106,TN,510.0,no,no,yes
107,AL,408.0,no,yes,no
108,IN,510.0,no,no,no
109,UT,510.0,no,no,yes
110,FL,415.0,no,yes,no
111,VA,415.0,no,no,no
112,CT,415.0,no,yes,no
113,NC,415.0,no,no,no
114,PA,510.0,no,no,no
115,MI,510.0,no,no,no
116,NC,510.0,no,yes,no
117,GA,408.0,no,no,no
118,PA,510.0,no,no,no
119,DE,415.0,yes,yes,yes
120,NY,415.0,no,no,no
121,MA,408.0,no,no,no
122,MT,415.0,no,no,no
123,NE,415.0,no,no,no
124,ME,408.0,no,no,yes
125,NJ,510.0,no,no,no
126,DE,415.0,no,no,no
127,VT,408.0,no,yes,no
128,NC,415.0,yes,no,yes
129,CT,408.0,no,no,no
130,NH,415.0,no,no,no
131,KY,415.0,no,yes,no
132,CO,510.0,no,yes,no
133,NH,510.0,no,no,no
134,MA,415.0,no,no,no
135,LA,510.0,no,no,yes
136,WV,510.0,no,yes,no
137,IL,415.0,no,no,no
138,MI,415.0,no,no,no
139,IN,415.0,no,no,no
140,CO,415.0,no,yes,no
141,DC,408.0,no,yes,no
142,TX,415.0,no,no,no
143,IA,408.0,no,no,no
144,UT,408.0,yes,yes,no
145,AL,415.0,no,yes,no
146,CT,415.0,no,no,no
147,NV,415.0,no,no,no
148,IA,510.0,no,no,no
149,UT,408.0,no,no,yes
150,GA,408.0,no,yes,no
151,PA,415.0,no,no,no
152,VA,415.0,no,no,no
153,SC,415.0,no,no,yes
154,WV,415.0,no,no,yes
155,KY,408.0,no,yes,no
156,KS,510.0,no,no,no
157,DC,510.0,no,no,no
158,AZ,510.0,no,yes,no
159,HI,408.0,no,no,no
160,MS,415.0,no,yes,no
161,WV,415.0,yes,no,yes
162,NC,408.0,no,no,no
163,ME,415.0,no,no,no
164,NJ,408.0,yes,no,no
165,WA,510.0,yes,no,yes
166,WY,408.0,no,no,no
167,ME,415.0,no,yes,no
168,MS,415.0,no,yes,no
169,KY,415.0,no,no,no
170,GA,510.0,no,no,no
171,AL,415.0,no,no,no
172,IN,415.0,no,no,no
173,AK,415.0,no,yes,no
174,AR,510.0,no,yes,no
175,VA,415.0,no,no,no
176,DC,415.0,no,yes,no
177,ID,408.0,no,no,no
178,DE,415.0,no,no,no
179,MN,408.0,no,yes,no
180,WY,415.0,no,no,no
181,NY,415.0,no,no,no
182,VA,415.0,no,yes,no
183,AR,510.0,no,no,no
184,TX,408.0,no,no,no
185,DC,510.0,no,yes,no
186,NY,415.0,no,no,no
187,OH,415.0,no,no,no
188,LA,415.0,no,yes,no
189,OH,415.0,no,yes,no
190,UT,510.0,no,yes,no
191,VA,415.0,no,yes,no
192,TX,415.0,no,no,yes
193,TN,415.0,no,no,no
194,PA,408.0,no,no,no
195,CT,510.0,no,yes,no
196,DE,510.0,no,no,no
197,IN,408.0,no,no,no
198,UT,408.0,no,yes,no
199,OK,408.0,no,no,no
200,NH,408.0,no,yes,no
201,MO,510.0,no,no,no
202,NV,510.0,no,yes,no
203,SC,415.0,no,no,no
204,HI,408.0,no,no,no
205,DC,415.0,yes,no,no
206,OK,510.0,no,no,no
207,ME,510.0,yes,no,yes
208,AZ,415.0,no,no,no
209,MN,415.0,no,no,no
210,WY,415.0,yes,yes,no
211,WA,415.0,no,no,no
212,AL,408.0,no,no,no
213,WA,415.0,no,no,yes
214,NM,408.0,no,no,no
215,MA,408.0,no,no,yes
216,ME,415.0,no,yes,yes
217,SD,510.0,yes,no,no
218,LA,415.0,no,no,yes
219,HI,415.0,no,no,no
220,FL,408.0,no,no,no
221,WI,415.0,no,no,yes
222,SD,510.0,yes,no,yes
223,NH,510.0,no,no,no
224,NJ,415.0,no,no,no
225,ND,510.0,no,no,no
226,MN,415.0,no,no,no
227,VT,415.0,no,no,no
228,MA,415.0,no,no,no
229,WV,415.0,no,no,no
230,MI,415.0,no,no,no
231,RI,510.0,no,no,no
232,NY,415.0,no,yes,no
233,SD,408.0,no,yes,no
234,WA,415.0,no,no,no
235,KS,408.0,no,yes,no
236,NV,415.0,no,yes,no
237,DC,415.0,no,no,no
238,AR,415.0,no,yes,no
239,CO,415.0,yes,no,no
240,CA,510.0,no,yes,no
241,OK,415.0,no,yes,no
242,DC,510.0,yes,yes,no
243,VA,415.0,yes,no,no
244,FL,408.0,no,yes,no
245,GA,415.0,no,no,no
246,CT,415.0,no,no,no
247,IL,415.0,no,no,no
248,WA,415.0,no,no,no
249,MN,415.0,no,no,no
250,NV,510.0,no,no,no
251,UT,415.0,yes,no,no
252,MS,415.0,no,no,yes
253,OH,415.0,no,yes,no
254,WV,408.0,no,no,yes
255,UT,415.0,no,no,no
256,CT,415.0,no,no,no
257,NH,415.0,no,no,no
258,DE,415.0,yes,yes,no
259,DE,415.0,no,no,no
260,CO,408.0,no,yes,no
261,FL,510.0,no,no,no
262,ID,510.0,yes,no,yes
263,DE,415.0,no,yes,no
264,PA,415.0,yes,no,no
265,NJ,415.0,no,no,no
267,MO,510.0,no,no,no
268,WA,510.0,no,no,yes
269,AK,415.0,no,no,no
270,OK,510.0,no,no,no
271,RI,415.0,no,no,yes
272,OH,415.0,no,no,no
273,MS,510.0,yes,no,no
274,AZ,408.0,no,no,no
275,VA,415.0,no,no,yes
276,AL,408.0,no,no,no
277,IL,415.0,no,no,no
278,MS,510.0,no,yes,no
279,MN,415.0,no,yes,no
280,OK,415.0,no,no,yes
281,TN,415.0,no,no,yes
282,WV,408.0,no,no,no
283,TN,415.0,yes,no,yes
284,FL,415.0,no,no,yes
285,NH,415.0,no,no,no
286,NY,408.0,no,yes,no
287,OH,415.0,no,no,no
288,NE,415.0,no,no,no
289,WV,510.0,no,yes,no
290,NV,510.0,yes,no,no
291,CT,415.0,no,no,no
292,KS,408.0,no,yes,no
293,VA,415.0,no,no,no
294,ID,510.0,yes,yes,no
295,NH,415.0,yes,no,yes
296,ND,510.0,no,no,no
297,AR,408.0,yes,yes,yes
298,MA,415.0,no,no,no
299,WI,510.0,no,no,no
300,AL,408.0,no,yes,no
301,WV,408.0,no,no,no
302,CO,415.0,yes,no,no
303,VA,415.0,no,yes,no
304,NH,415.0,no,yes,no
305,TN,415.0,no,no,yes
306,UT,415.0,no,no,no
307,MA,408.0,no,no,no
308,KY,415.0,no,no,no
309,WY,415.0,no,yes,no
310,DE,415.0,no,no,no
311,MI,415.0,no,yes,no
312,WY,408.0,no,no,no
313,MN,415.0,yes,no,no
314,WY,408.0,no,no,no
315,NY,415.0,no,no,no
316,NH,408.0,no,no,no
317,DE,415.0,no,no,no
318,NJ,408.0,no,yes,no
319,IA,510.0,no,no,no
320,OR,408.0,no,no,no
321,PA,415.0,no,no,no
322,MI,415.0,no,yes,no
323,FL,415.0,no,no,yes
324,PA,408.0,yes,yes,no
325,WV,408.0,no,no,no
326,NE,415.0,no,no,yes
327,WI,415.0,no,no,no
328,FL,415.0,no,no,no
329,TX,415.0,no,no,no
330,MS,510.0,no,no,no
331,FL,408.0,no,no,no
332,WV,408.0,no,yes,yes
333,SC,415.0,no,no,no
334,GA,408.0,no,no,yes
335,GA,408.0,no,no,no
336,MT,415.0,no,no,no
337,HI,510.0,no,yes,no
338,HI,510.0,no,no,no
339,MA,408.0,no,yes,no
340,NH,415.0,no,no,no
341,AL,415.0,no,no,no
342,AZ,510.0,no,no,yes
343,NC,510.0,no,no,no
344,MT,510.0,no,no,no
345,NV,415.0,no,yes,no
346,SC,510.0,no,no,no
347,VA,510.0,no,no,no
348,AR,408.0,no,no,yes
349,DC,408.0,no,no,no
350,RI,415.0,no,no,no
351,WV,415.0,no,no,no
352,ME,510.0,no,no,no
353,AL,510.0,no,no,yes
354,NC,408.0,yes,no,no
355,MT,415.0,no,no,yes
356,TN,415.0,no,no,no
357,LA,510.0,no,no,no
358,SC,510.0,no,no,no
359,IN,415.0,no,no,yes
360,IA,510.0,no,no,no
361,NJ,510.0,no,no,no
362,AK,415.0,no,no,no
363,GA,510.0,no,no,no
364,LA,408.0,no,no,no
365,MI,415.0,no,no,no
366,FL,415.0,no,no,no
367,UT,408.0,no,no,no
368,MT,510.0,no,yes,no
369,OR,510.0,no,no,yes
370,AL,415.0,no,yes,no
371,AR,415.0,no,no,no
372,MD,408.0,no,no,no
373,ND,408.0,no,no,no
374,NH,510.0,no,no,no
375,ID,408.0,no,no,no
376,MS,510.0,no,no,no
377,KS,510.0,no,yes,no
378,CT,408.0,no,no,no
379,NJ,510.0,no,no,no
380,SC,415.0,no,no,no
381,NH,415.0,yes,no,no
382,VA,408.0,no,yes,no
383,CO,415.0,no,no,no
384,FL,510.0,no,yes,yes
385,AZ,415.0,no,no,no
386,OR,415.0,no,no,no
387,TX,510.0,no,no,no
388,MD,510.0,no,no,no
389,WV,415.0,no,no,no
390,GA,408.0,no,no,no
391,VA,415.0,no,no,no
392,NE,415.0,no,yes,no
393,TX,408.0,no,yes,no
394,VA,415.0,no,no,no
395,DC,415.0,no,yes,no
396,NE,415.0,yes,no,no
397,MS,408.0,yes,no,no
398,TN,510.0,no,yes,no
399,ID,510.0,no,no,no
400,KS,510.0,no,no,yes
401,NM,415.0,no,no,no
402,WV,415.0,yes,no,no
403,AL,415.0,no,no,no
404,CO,415.0,no,no,no
405,NJ,415.0,no,no,yes
406,ID,415.0,no,no,no
407,WA,510.0,no,yes,no
408,DC,415.0,no,no,no
409,TX,510.0,no,no,no
410,HI,408.0,no,no,no
411,LA,510.0,no,no,no
412,MD,510.0,no,no,no
413,MN,408.0,no,no,yes
414,RI,415.0,no,no,no
415,PA,415.0,no,no,no
416,NV,510.0,no,no,no
417,ND,415.0,no,no,no
418,MO,510.0,no,no,no
419,OH,415.0,no,no,no
420,UT,408.0,no,no,no
421,DE,408.0,no,no,yes
422,CT,415.0,no,no,no
423,TN,510.0,no,no,no
424,NH,510.0,no,yes,no
425,ID,415.0,no,yes,no
426,NH,415.0,no,no,no
427,LA,415.0,no,no,no
428,VA,415.0,yes,yes,no
429,ID,415.0,no,no,no
430,VA,408.0,no,no,no
431,AL,408.0,no,no,no
432,VT,415.0,no,no,no
433,MS,415.0,no,no,no
434,HI,510.0,no,no,no
435,OH,510.0,no,yes,no
436,MO,415.0,yes,no,yes
437,NY,510.0,no,no,no
438,WI,408.0,no,no,no
439,MO,408.0,no,no,no
440,AL,415.0,no,no,no
441,CO,408.0,no,yes,no
442,NJ,408.0,no,no,no
443,SC,510.0,no,no,no
444,AK,415.0,no,yes,no
445,AK,510.0,no,no,no
446,MN,408.0,no,no,no
447,MI,408.0,no,yes,no
448,KS,510.0,no,no,no
449,NJ,415.0,no,yes,no
450,OR,415.0,no,no,no
451,IA,415.0,no,no,no
452,NJ,415.0,no,no,no
453,NY,510.0,no,no,no
454,MN,408.0,no,yes,no
455,MI,408.0,no,no,no
456,NE,408.0,no,no,no
457,OH,415.0,no,yes,no
458,SD,415.0,no,no,no
459,UT,415.0,no,yes,yes
460,OH,510.0,no,yes,no
461,MS,415.0,no,yes,no
462,PA,408.0,no,no,no
463,KY,510.0,no,yes,no
464,NH,408.0,no,yes,no
465,MO,415.0,no,no,no
466,TN,415.0,no,yes,no
467,TN,510.0,no,yes,no
468,AL,415.0,no,yes,no
469,LA,510.0,no,no,no
470,NV,408.0,no,yes,yes
471,MI,510.0,no,yes,no
472,OK,510.0,no,no,no
473,NE,510.0,no,no,no
474,FL,510.0,no,no,no
475,MD,415.0,no,no,no
476,KY,415.0,no,no,no
477,NY,415.0,no,no,no
478,KY,415.0,no,no,no
479,MS,415.0,yes,yes,no
480,WI,408.0,no,no,no
481,NH,415.0,no,yes,no
482,OR,408.0,no,no,no
483,WI,408.0,no,no,no
484,ID,510.0,no,no,no
485,KS,510.0,no,no,no
486,WY,415.0,no,no,no
487,MT,408.0,no,no,no
488,ID,408.0,no,no,no
489,TX,415.0,no,no,yes
490,WV,415.0,no,no,no
491,NY,415.0,no,no,no
492,NJ,415.0,no,no,no
493,KS,510.0,no,yes,no
494,IA,510.0,no,yes,no
495,MS,415.0,no,no,no
496,MI,415.0,yes,yes,no
497,DE,510.0,no,no,no
498,IL,408.0,no,no,no
499,VA,408.0,no,no,no
500,IN,415.0,no,yes,no
501,ME,510.0,no,yes,no
502,TN,415.0,no,no,no
503,WV,408.0,no,no,no
504,TX,415.0,no,no,no
505,MT,415.0,no,yes,no
506,AL,415.0,no,no,no
507,FL,408.0,no,yes,no
508,KY,415.0,no,no,yes
509,PA,415.0,no,no,no
510,OH,415.0,no,yes,no
511,NY,408.0,no,yes,no
512,ID,415.0,no,no,no
513,NJ,415.0,no,no,no
514,CA,415.0,no,no,yes
515,NM,510.0,no,yes,no
516,VA,415.0,no,no,no
517,UT,415.0,no,no,no
518,MO,408.0,no,yes,yes
519,WV,510.0,no,no,yes
520,ND,415.0,no,yes,no
521,MO,408.0,no,no,yes
522,KS,510.0,no,no,no
523,CO,415.0,no,no,no
524,OH,415.0,no,yes,no
525,IN,415.0,no,yes,no
526,NE,415.0,no,no,no
527,OK,408.0,no,no,no
528,ID,415.0,no,no,no
529,DE,415.0,no,no,no
530,WA,510.0,no,yes,no
531,MA,408.0,no,no,no
532,MA,510.0,no,no,no
533,FL,408.0,no,no,no
534,AR,408.0,no,no,no
535,AR,408.0,no,no,yes
536,AL,415.0,no,no,no
537,CA,408.0,no,no,no
538,RI,415.0,no,yes,no
539,ND,415.0,yes,no,no
540,MT,415.0,no,no,yes
541,SC,510.0,no,no,no
542,VA,510.0,yes,no,no
543,NJ,415.0,no,no,no
544,OK,408.0,no,yes,no
545,ME,510.0,no,yes,no
546,OK,415.0,yes,no,no
547,IL,415.0,no,yes,no
548,GA,408.0,no,yes,no
549,NC,415.0,no,yes,no
550,HI,415.0,no,no,no
551,OK,415.0,no,no,no
552,DC,415.0,no,yes,no
553,SC,415.0,no,no,no
554,MN,415.0,no,no,no
555,HI,510.0,no,yes,no
556,NJ,415.0,no,no,no
557,MI,415.0,no,no,no
558,UT,510.0,no,no,no
559,IA,408.0,no,yes,no
560,CO,415.0,no,no,no
561,MS,408.0,no,no,no
562,MA,408.0,no,no,no
563,NY,408.0,no,no,no
564,VA,408.0,no,no,no
565,IN,510.0,no,yes,no
566,NH,415.0,no,yes,no
567,IL,408.0,no,no,no
568,AK,510.0,no,no,yes
569,WV,408.0,no,no,no
570,NH,510.0,no,no,no
571,NM,408.0,no,no,no
572,RI,510.0,no,no,no
573,KS,408.0,no,no,no
574,AR,408.0,no,yes,no
575,NH,408.0,no,no,no
576,KY,510.0,yes,yes,yes
577,KS,415.0,no,yes,no
578,SC,510.0,no,no,no
579,ID,415.0,no,no,no
580,OH,415.0,no,yes,no
581,AL,510.0,no,no,no
582,KS,415.0,no,no,no
583,CT,510.0,yes,no,yes
584,WY,415.0,no,yes,no
585,NV,415.0,no,yes,no
586,ID,415.0,no,yes,no
587,IN,415.0,no,yes,no
588,AK,415.0,no,no,no
589,AR,408.0,no,no,no
590,WI,415.0,yes,yes,no
591,IN,415.0,no,no,no
592,KY,408.0,no,no,no
593,AZ,415.0,no,yes,no
594,IN,415.0,no,no,no
595,NC,415.0,no,no,no
596,MD,415.0,no,no,no
597,NM,415.0,no,no,no
598,OH,510.0,no,no,yes
599,IN,415.0,no,no,yes
600,VA,408.0,no,yes,no
601,GA,408.0,yes,yes,no
602,AL,415.0,no,no,no
603,IA,415.0,no,yes,no
604,VA,415.0,no,yes,no
605,SD,408.0,no,no,no
606,NV,415.0,no,no,no
607,WY,415.0,no,yes,no
608,MA,510.0,no,no,no
609,NJ,415.0,no,no,no
610,UT,510.0,yes,yes,no
611,NM,408.0,no,no,no
612,NH,415.0,no,no,no
613,NJ,510.0,no,yes,no
614,MA,408.0,no,no,no
615,GA,415.0,no,yes,no
616,AK,510.0,no,no,no
617,AR,415.0,no,yes,no
618,WV,408.0,no,no,no
619,OR,415.0,no,no,no
620,ID,510.0,yes,no,no
621,NY,415.0,no,no,yes
622,KY,415.0,no,no,no
623,RI,408.0,yes,no,no
624,ID,510.0,no,no,no
625,NH,415.0,no,yes,no
626,CO,408.0,no,no,no
627,IA,510.0,no,no,no
628,MT,510.0,no,no,yes
629,WY,510.0,no,yes,no
630,HI,408.0,no,no,no
631,WI,510.0,no,no,no
632,DE,415.0,no,no,no
633,WA,408.0,no,no,yes
634,UT,510.0,no,no,no
635,KY,510.0,no,no,no
636,NH,510.0,no,no,no
637,RI,408.0,yes,yes,no
638,CA,415.0,no,no,no
639,PA,415.0,no,yes,no
640,MA,510.0,no,no,yes
641,WI,408.0,no,no,no
642,MT,415.0,no,yes,no
643,GA,415.0,no,yes,no
644,AZ,408.0,no,yes,no
645,GA,408.0,yes,no,yes
646,ME,510.0,no,yes,no
647,ME,510.0,no,no,no
648,UT,510.0,yes,no,no
649,MD,408.0,no,no,no
650,DC,408.0,no,no,yes
651,OH,408.0,no,no,no
652,MO,510.0,no,no,no
653,ID,408.0,no,no,yes
654,WA,408.0,no,no,yes
655,NY,415.0,no,no,no
656,NJ,408.0,no,no,no
657,NM,415.0,no,no,no
658,ID,415.0,no,no,yes
659,MO,408.0,no,no,no
660,NJ,408.0,no,no,yes
661,NC,415.0,no,no,no
662,KY,415.0,no,yes,no
663,CT,408.0,no,no,no
664,NY,510.0,no,no,no
665,OH,510.0,no,no,no
666,IL,415.0,no,yes,no
667,IL,408.0,no,no,no
668,WA,415.0,no,yes,no
669,NJ,415.0,yes,no,yes
670,WI,415.0,no,yes,no
671,WV,415.0,no,yes,no
672,AL,415.0,no,no,no
673,WY,408.0,no,no,no
674,ME,415.0,no,no,no
675,LA,510.0,no,no,no
676,WI,408.0,no,no,no
677,NH,415.0,no,no,no
678,HI,510.0,no,no,no
679,WV,510.0,no,no,no
680,UT,408.0,no,no,no
681,HI,415.0,no,no,no
682,VT,415.0,no,no,no
683,TX,415.0,yes,no,no
684,MD,408.0,no,no,no
685,TN,408.0,yes,yes,yes
686,GA,415.0,no,no,no
687,MA,415.0,no,no,no
688,ND,415.0,yes,no,yes
689,NJ,415.0,no,no,no
690,NH,510.0,no,no,yes
691,NJ,408.0,no,no,no
692,FL,415.0,no,yes,no
693,SC,408.0,no,no,no
694,WY,510.0,no,no,yes
695,TX,408.0,no,yes,no
696,MA,415.0,no,no,no
697,ID,415.0,no,no,yes
698,TX,415.0,no,no,no
699,DE,415.0,no,no,no
700,NY,415.0,no,no,no
701,ME,408.0,no,no,no
702,NM,415.0,no,no,no
703,IL,415.0,no,yes,no
704,LA,415.0,no,no,no
705,TN,408.0,no,no,no
706,MI,510.0,yes,no,no
707,MS,415.0,no,no,no
708,DE,415.0,no,no,yes
709,KS,415.0,no,no,no
710,RI,510.0,no,yes,no
711,NJ,415.0,no,yes,no
712,WI,415.0,no,yes,no
713,MT,415.0,no,yes,no
714,WV,408.0,no,no,no
715,IL,510.0,no,no,yes
716,OR,408.0,no,no,no
717,MN,415.0,no,yes,no
718,TX,510.0,no,no,no
719,AZ,510.0,no,yes,no
720,LA,408.0,no,no,yes
721,AL,510.0,no,no,no
722,MD,415.0,no,no,no
723,ND,415.0,no,no,no
724,DC,510.0,no,no,no
725,MD,408.0,no,no,no
726,MA,408.0,no,yes,no
727,AR,415.0,no,yes,no
728,DC,510.0,no,no,no
729,NJ,408.0,yes,yes,yes
730,MD,510.0,no,no,no
731,RI,415.0,yes,yes,no
732,AL,415.0,no,no,no
733,MS,510.0,yes,no,no
734,NJ,408.0,no,no,yes
735,TX,408.0,no,no,no
736,MS,510.0,no,no,no
737,WI,510.0,no,yes,no
738,GA,510.0,no,no,no
739,ME,415.0,no,no,no
740,MT,510.0,no,no,no
741,AR,415.0,no,no,no
742,ID,415.0,no,no,no
743,ND,510.0,no,no,no
744,AZ,415.0,no,no,no
745,CA,408.0,no,no,no
746,NJ,408.0,no,no,yes
747,NV,415.0,no,no,no
748,NV,408.0,no,no,no
749,AL,415.0,no,no,no
750,AL,510.0,no,yes,no
751,SC,408.0,no,yes,no
752,WV,415.0,no,no,no
753,CO,510.0,no,yes,no
754,OH,408.0,yes,no,yes
755,TX,510.0,no,no,no
756,ME,415.0,no,no,no
757,LA,510.0,no,no,no
758,MT,408.0,no,no,no
759,NJ,408.0,no,no,no
760,UT,510.0,no,no,yes
761,DC,415.0,no,yes,no
762,UT,415.0,no,no,no
763,CO,408.0,no,no,no
764,MA,408.0,no,no,no
765,FL,415.0,no,no,no
766,RI,408.0,no,no,no
767,ID,408.0,yes,yes,no
768,CO,510.0,no,no,no
769,MS,510.0,no,no,no
770,PA,510.0,no,no,no
771,KY,408.0,no,no,no
772,ID,408.0,no,no,no
773,AK,415.0,no,no,no
774,AL,415.0,no,no,no
775,SC,415.0,yes,no,no
776,MN,408.0,no,no,no
777,KS,415.0,yes,no,no
778,MA,415.0,no,no,no
779,KY,408.0,no,no,yes
780,WI,408.0,yes,no,no
781,MI,408.0,no,no,no
782,NV,408.0,no,no,no
783,DC,415.0,no,no,no
784,NE,510.0,no,no,no
785,OR,415.0,no,no,no
786,OR,415.0,no,yes,no
787,AR,415.0,yes,no,yes
788,UT,415.0,no,no,yes
789,AZ,408.0,yes,yes,no
790,ME,510.0,no,no,no
791,MT,510.0,no,no,no
792,OK,510.0,no,no,no
793,VT,415.0,no,no,no
794,NM,408.0,no,yes,no
795,ID,510.0,no,no,no
796,SC,510.0,no,no,no
797,MA,408.0,no,no,yes
798,OK,415.0,no,no,yes
799,NJ,415.0,no,no,no
800,CO,415.0,no,no,no
801,WA,415.0,no,no,no
802,KS,408.0,no,no,yes
803,GA,415.0,no,no,no
804,AL,415.0,no,no,yes
805,KY,415.0,yes,no,no
806,LA,408.0,no,yes,no
807,MN,408.0,no,no,yes
808,WV,415.0,no,no,yes
809,ID,415.0,no,no,no
810,WY,415.0,no,no,no
811,NE,510.0,no,no,no
812,WI,415.0,no,no,no
813,MI,415.0,no,no,no
814,NH,415.0,no,no,no
815,AK,415.0,no,no,no
816,DE,415.0,no,no,no
817,AZ,415.0,no,yes,no
818,NV,415.0,no,no,no
819,WV,408.0,no,yes,no
820,VT,510.0,yes,no,yes
821,OK,510.0,no,no,no
822,RI,415.0,no,no,no
823,MA,415.0,no,no,no
824,OR,415.0,no,no,yes
825,NY,510.0,no,no,yes
826,ME,510.0,no,no,no
827,VA,408.0,no,no,no
828,DE,415.0,no,no,no
829,OH,415.0,yes,no,yes
830,NY,408.0,no,no,no
831,MN,415.0,no,no,no
832,WV,415.0,no,no,yes
833,MD,415.0,yes,no,no
834,GA,415.0,no,no,no
835,WY,510.0,no,yes,no
836,WV,415.0,no,no,no
837,OH,415.0,no,yes,no
838,AK,415.0,yes,yes,yes
839,MT,415.0,no,no,no
840,IL,415.0,no,no,no
841,RI,510.0,no,no,no
842,WY,415.0,no,no,no
843,WA,415.0,no,no,no
844,CO,408.0,no,no,no
845,DC,408.0,no,no,no
846,OH,415.0,no,no,no
847,AL,415.0,no,yes,no
848,KY,415.0,no,no,no
849,IA,510.0,no,yes,no
850,OH,415.0,no,no,no
851,MD,415.0,no,no,no
852,HI,510.0,no,no,yes
853,WV,415.0,no,no,no
854,SD,408.0,yes,yes,no
855,NY,408.0,no,no,no
856,ID,415.0,no,no,no
857,TX,415.0,yes,no,yes
858,TX,510.0,no,no,no
859,ID,415.0,no,yes,no
860,CA,510.0,no,no,no
861,MO,510.0,no,no,no
862,OR,415.0,no,no,no
863,KY,510.0,no,no,yes
864,NY,415.0,no,no,no
865,MI,415.0,no,no,no
866,WA,415.0,no,no,no
867,VT,510.0,no,no,no
868,DC,415.0,no,yes,no
869,TX,415.0,no,no,yes
870,NJ,415.0,no,no,no
871,ND,510.0,no,no,no
872,CO,415.0,no,yes,no
873,CO,415.0,no,no,no
874,GA,415.0,no,yes,no
875,UT,510.0,no,no,no
876,CO,408.0,no,no,no
877,AZ,510.0,no,no,yes
878,TX,510.0,no,no,yes
879,CT,408.0,no,no,no
880,NM,408.0,yes,no,no
881,MI,415.0,no,no,no
882,ME,415.0,no,yes,no
883,CT,510.0,no,no,no
884,MO,408.0,no,no,no
885,WY,510.0,yes,no,no
886,DC,415.0,no,no,no
887,RI,408.0,no,no,no
888,VA,415.0,no,no,no
889,MA,415.0,no,no,no
890,MT,415.0,no,no,no
891,WA,415.0,no,no,no
892,TN,415.0,yes,no,yes
893,ND,415.0,no,no,no
894,ME,510.0,no,no,no
895,CO,408.0,no,no,yes
896,IN,510.0,yes,no,yes
897,DC,510.0,yes,no,yes
898,UT,415.0,no,no,no
