state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,customer_id
UT,98,415.0,no,no,0.0,211.9,,36.02,224.6,95.0,,233.0,81.0,10.49,9.9,3.0,2.67,2.0,no,59615831.0
NJ,163,415.0,no,no,0.0,82.0,95.0,13.94,125.2,103.0,10.64,,107.0,7.71,8.0,4.0,2.16,1.0,no,22783955.0
MA,169,408.0,no,yes,22.0,149.1,103.0,25.35,207.2,91.0,17.61,265.4,92.0,11.94,11.4,7.0,3.08,2.0,no,37644754.0
NV,111,415.0,no,no,0.0,304.6,56.0,,157.6,101.0,,188.2,116.0,8.47,12.4,1.0,3.35,1.0,yes,23097868.0
TN,163,510.0,no,no,0.0,277.7,,47.21,115.3,91.0,9.8,170.3,90.0,7.66,10.4,8.0,2.81,0.0,no,360966.0
ME,57,510.0,no,no,0.0,,99.0,26.38,214.1,98.0,18.2,241.0,64.0,10.85,,7.0,2.03,1.0,no,54590682.0
AL,117,415.0,no,no,0.0,198.5,75.0,33.75,179.8,92.0,15.28,234.1,,10.53,10.6,6.0,2.86,0.0,no,37582376.0
LA,85,408.0,no,no,0.0,209.1,57.0,,110.7,,9.41,113.3,113.0,,12.8,4.0,3.46,1.0,no,28737880.0
AL,132,415.0,no,no,,200.0,104.0,34.0,149.6,101.0,12.72,137.1,110.0,6.17,18.9,2.0,5.1,1.0,no,40724429.0
FL,190,415.0,no,no,0.0,196.1,95.0,33.34,228.3,88.0,19.41,243.6,95.0,10.96,7.6,3.0,2.05,3.0,no,54860267.0
FL,39,510.0,no,no,0.0,121.6,99.0,20.67,267.6,,22.75,99.7,88.0,,7.1,2.0,1.92,1.0,no,65336364.0
SC,84,415.0,no,no,0.0,204.1,,,164.4,117.0,,165.1,123.0,7.43,0.0,0.0,,1.0,no,37599461.0
ID,71,415.0,no,no,0.0,212.1,114.0,36.06,235.9,91.0,20.05,207.7,135.0,9.35,11.3,,3.05,4.0,no,23092778.0
WY,114,415.0,no,no,0.0,,86.0,30.31,176.5,99.0,15.0,187.1,83.0,8.42,13.8,2.0,3.73,1.0,no,31491459.0
NE,135,415.0,no,no,0.0,181.8,,30.91,159.6,63.0,13.57,232.4,78.0,10.46,,,1.89,0.0,no,55340178.0
CO,93,415.0,no,no,0.0,120.6,104.0,20.5,205.5,,17.47,,107.0,8.21,9.6,6.0,2.59,2.0,no,24150286.0
VA,82,415.0,no,no,0.0,172.4,112.0,,131.7,89.0,11.19,182.8,78.0,8.23,8.8,,2.38,1.0,no,17300377.0
WV,64,415.0,no,no,0.0,160.6,110.0,27.3,,97.0,14.61,105.2,56.0,4.73,7.3,2.0,1.97,0.0,yes,31746589.0
AZ,76,408.0,no,yes,12.0,98.4,,,187.5,119.0,15.94,177.0,68.0,7.97,15.1,3.0,4.08,1.0,no,5632443.0
KS,112,415.0,no,no,,109.0,126.0,18.53,,106.0,,208.3,92.0,9.37,7.9,3.0,2.13,1.0,no,38336467.0
NJ,113,408.0,yes,no,0.0,122.4,98.0,20.81,223.8,116.0,,267.5,148.0,,11.6,5.0,3.13,3.0,no,32970766.0
SD,137,415.0,no,no,0.0,144.5,119.0,24.57,167.3,89.0,14.22,,76.0,,6.1,4.0,1.65,5.0,yes,22704407.0
ND,128,408.0,no,no,0.0,102.5,87.0,17.43,,97.0,15.06,226.0,,10.17,8.7,5.0,,1.0,no,6793244.0
SC,84,415.0,no,no,0.0,274.1,119.0,46.6,144.1,123.0,,268.2,100.0,12.07,9.9,,2.67,2.0,no,56815251.0
ID,140,510.0,no,no,0.0,193.1,82.0,32.83,260.3,107.0,22.13,241.3,93.0,10.86,13.3,5.0,3.59,2.0,no,59757948.0
TX,106,415.0,no,no,,182.8,96.0,,,93.0,,219.5,113.0,9.88,7.7,2.0,2.08,2.0,no,50465210.0
SD,166,510.0,no,yes,,148.4,86.0,25.23,170.6,119.0,14.5,201.5,124.0,9.07,11.3,12.0,3.05,1.0,no,32034357.0
TN,137,408.0,no,no,0.0,75.8,107.0,,256.9,98.0,21.84,204.4,118.0,9.2,10.5,3.0,2.84,2.0,no,13938840.0
TN,161,415.0,no,no,0.0,198.0,,33.66,186.4,102.0,15.84,,90.0,9.86,9.3,2.0,,1.0,no,53531745.0
DE,120,415.0,no,no,0.0,253.2,95.0,43.04,210.8,86.0,17.92,253.9,81.0,11.43,9.5,4.0,2.57,5.0,yes,36106771.0
TN,187,510.0,no,yes,25.0,199.9,64.0,,134.6,110.0,,210.4,78.0,9.47,11.7,,3.16,3.0,no,25335977.0
OR,102,415.0,no,yes,25.0,,105.0,31.88,272.3,88.0,23.15,216.4,91.0,9.74,11.7,2.0,,2.0,no,24358202.0
IA,82,408.0,no,no,0.0,183.6,111.0,31.21,303.5,88.0,25.8,189.8,115.0,8.54,10.3,6.0,2.78,0.0,no,50670074.0
MI,100,510.0,no,yes,21.0,86.1,95.0,14.64,189.9,126.0,16.14,201.3,113.0,,11.7,4.0,3.16,0.0,no,57089344.0
AR,45,408.0,no,no,0.0,126.8,83.0,21.56,157.8,100.0,13.41,158.3,97.0,7.12,11.0,4.0,,3.0,no,37665288.0
TN,114,415.0,no,no,0.0,108.3,95.0,18.41,168.3,104.0,14.31,153.1,109.0,6.89,9.1,,2.46,1.0,no,17242736.0
WV,43,408.0,yes,no,0.0,160.5,,27.29,235.8,121.0,20.04,111.8,95.0,5.03,13.8,5.0,3.73,1.0,yes,56533672.0
IL,103,408.0,no,no,0.0,,81.0,25.04,158.4,88.0,,193.8,103.0,8.72,11.0,3.0,2.97,2.0,no,317757862.0
DE,57,510.0,no,no,0.0,165.1,91.0,28.07,240.8,56.0,,277.0,100.0,12.47,9.5,3.0,2.57,2.0,no,32332090.0
NC,52,408.0,no,yes,31.0,122.2,88.0,,139.0,100.0,11.82,141.9,141.0,6.39,5.7,10.0,1.54,3.0,no,28076479666.0
IA,74,408.0,no,no,0.0,156.3,102.0,26.57,273.1,118.0,23.21,215.8,,9.71,9.0,4.0,2.43,3.0,no,309072858.0
AL,74,408.0,no,yes,46.0,277.7,109.0,47.21,,,22.95,165.3,82.0,7.44,10.4,2.0,2.81,1.0,no,31486442.0
HI,40,415.0,yes,yes,21.0,147.4,,25.06,262.8,,,202.0,97.0,9.09,10.9,5.0,,0.0,no,40192452.0
PA,83,415.0,no,no,0.0,228.4,113.0,38.83,163.3,103.0,13.88,248.0,114.0,11.16,7.8,6.0,2.11,1.0,no,10901270.0
RI,102,510.0,no,no,0.0,184.6,133.0,31.38,166.8,94.0,14.18,225.2,105.0,10.13,,8.0,1.84,1.0,no,28545507.0
LA,92,510.0,no,no,,87.6,89.0,14.89,172.3,133.0,14.65,153.4,88.0,6.9,8.0,4.0,2.16,1.0,no,57718637.0
DC,79,408.0,no,yes,25.0,219.0,95.0,37.23,241.9,95.0,20.56,203.4,102.0,9.15,,5.0,1.51,4.0,no,51997773.0
TN,110,510.0,no,no,0.0,220.9,100.0,37.55,279.6,76.0,,239.8,107.0,10.79,13.5,9.0,3.65,1.0,yes,57930729.0
AL,69,408.0,no,yes,27.0,,104.0,32.03,320.6,128.0,27.25,161.7,120.0,7.28,9.7,7.0,2.62,1.0,no,309959047.0
IN,56,510.0,no,no,0.0,254.8,83.0,43.32,194.0,98.0,,,118.0,8.38,13.5,2.0,3.65,4.0,no,58261405.0
UT,133,510.0,no,no,,338.4,86.0,57.53,234.6,97.0,19.94,264.8,139.0,11.92,14.8,4.0,4.0,3.0,yes,37675873.0
FL,119,415.0,no,yes,,168.2,81.0,28.59,283.3,105.0,24.08,243.8,136.0,10.97,10.7,3.0,2.89,1.0,no,507331694.0
VA,131,415.0,no,no,0.0,,114.0,24.33,,119.0,11.74,199.4,100.0,8.97,8.9,3.0,2.4,3.0,no,29075363.0
CT,60,415.0,no,yes,,118.3,113.0,,,97.0,,172.8,78.0,7.78,9.4,4.0,2.54,1.0,no,33509175.0
NC,118,415.0,no,no,0.0,256.5,115.0,43.61,,79.0,11.5,208.3,131.0,9.37,,5.0,2.03,0.0,no,54267661.0
PA,92,510.0,no,no,0.0,185.9,111.0,31.6,216.8,93.0,,231.0,58.0,10.4,,2.0,2.3,1.0,no,33406182.0
MI,52,510.0,no,no,,219.0,100.0,37.23,148.9,110.0,12.66,,,6.83,11.9,8.0,3.21,3.0,no,13902978.0
NC,135,510.0,no,yes,18.0,180.1,90.0,30.62,,65.0,12.96,258.2,85.0,11.62,12.7,9.0,3.43,1.0,no,56426661.0
GA,107,408.0,no,no,,114.9,119.0,19.53,239.7,91.0,20.37,165.3,112.0,7.44,12.6,5.0,3.4,2.0,no,58307422.0
PA,110,510.0,no,no,0.0,158.6,97.0,26.96,204.4,,17.37,182.5,123.0,8.21,11.3,3.0,3.05,2.0,no,38345369.0
DE,109,415.0,yes,yes,,244.2,147.0,41.51,199.7,65.0,16.97,,,6.5,15.4,3.0,4.16,2.0,yes,29328440.0
NY,90,415.0,no,no,0.0,180.0,58.0,,,88.0,19.5,162.2,110.0,7.3,13.2,9.0,3.56,1.0,no,6968291.0
MA,117,408.0,no,no,0.0,240.2,,40.83,,,15.97,152.7,102.0,6.87,7.0,19.0,1.89,3.0,no,22828495.0
MT,57,415.0,no,no,,234.4,120.0,39.85,155.3,120.0,13.2,130.5,103.0,5.87,9.4,4.0,2.54,1.0,no,58039900.0
NE,115,415.0,no,no,0.0,,104.0,23.02,138.8,91.0,11.8,208.5,92.0,9.38,5.4,3.0,,1.0,no,57695173.0
ME,73,408.0,no,no,0.0,272.4,112.0,,252.2,91.0,,255.4,112.0,11.49,10.9,5.0,,1.0,yes,34184093.0
NJ,127,510.0,no,no,,,95.0,44.69,,126.0,14.95,202.1,101.0,9.09,7.5,5.0,2.03,1.0,no,32779480.0
DE,79,415.0,no,no,0.0,66.7,124.0,11.34,204.0,91.0,17.34,254.7,110.0,11.46,15.1,2.0,4.08,1.0,no,64764665.0
VT,33,408.0,no,yes,33.0,221.4,,37.64,276.1,86.0,23.47,222.9,102.0,10.03,10.1,4.0,2.73,1.0,no,13179601.0
NC,110,415.0,yes,no,0.0,,99.0,,227.3,123.0,19.32,176.0,110.0,7.92,,4.0,3.56,1.0,yes,31468473.0
CT,133,408.0,no,no,0.0,240.8,,40.94,202.7,62.0,17.23,212.9,76.0,9.58,7.7,,2.08,1.0,no,14346852.0
NH,145,415.0,no,no,0.0,170.5,101.0,28.99,206.5,112.0,,194.3,106.0,8.74,9.8,1.0,2.65,3.0,no,38309977.0
KY,47,415.0,no,yes,40.0,158.3,90.0,26.91,213.2,71.0,18.12,123.0,132.0,5.54,14.0,2.0,3.78,2.0,no,29633310.0
CO,53,510.0,no,yes,24.0,201.7,87.0,,251.7,97.0,,297.4,95.0,13.38,7.9,5.0,2.13,0.0,no,55488332.0
NH,148,510.0,no,no,0.0,,102.0,28.7,248.1,125.0,21.09,250.7,96.0,11.28,10.6,4.0,2.86,1.0,no,29451754.0
MA,72,415.0,no,no,0.0,,98.0,24.12,,63.0,15.99,115.2,49.0,5.18,12.0,5.0,,2.0,no,32415267.0
LA,96,510.0,no,no,0.0,,75.0,31.04,188.6,67.0,16.03,137.7,81.0,6.2,9.5,,2.57,5.0,yes,357152.0
WV,113,510.0,no,yes,28.0,264.4,93.0,44.95,222.8,,18.94,213.7,88.0,9.62,10.0,4.0,2.7,1.0,no,303668099.0
IL,55,415.0,no,no,0.0,203.7,80.0,34.63,230.2,,19.57,120.3,48.0,5.41,9.4,1.0,,3.0,no,57776197.0
MI,143,415.0,no,no,0.0,191.6,53.0,32.57,,104.0,,195.8,125.0,8.81,,9.0,2.89,3.0,no,56549124.0
IN,60,415.0,no,no,0.0,136.4,147.0,23.19,219.9,101.0,18.69,99.7,73.0,4.49,,3.0,1.89,0.0,no,314570813.0
CO,90,415.0,no,yes,30.0,,103.0,28.59,220.9,75.0,18.78,224.3,105.0,10.09,8.2,2.0,2.21,0.0,no,56380082.0
DC,170,408.0,no,yes,34.0,125.3,128.0,21.3,240.6,104.0,,,109.0,10.95,7.0,3.0,1.89,3.0,no,57716755.0
TX,65,415.0,no,no,0.0,217.9,89.0,37.04,238.8,101.0,20.3,194.4,105.0,8.75,6.6,4.0,1.78,0.0,no,22860621.0
IA,93,408.0,no,no,0.0,198.1,93.0,33.68,236.1,95.0,20.07,127.3,121.0,5.73,12.6,4.0,3.4,2.0,no,33290677.0
UT,117,408.0,yes,yes,,,81.0,30.4,,85.0,24.32,229.4,128.0,10.32,,5.0,1.92,1.0,no,24262404.0
AL,96,415.0,no,yes,18.0,262.9,57.0,44.69,190.2,107.0,,293.5,103.0,13.21,11.8,4.0,3.19,3.0,no,22357909.0
CT,101,415.0,no,no,0.0,164.6,85.0,27.98,204.9,72.0,17.42,136.4,104.0,6.14,11.5,5.0,3.11,0.0,no,5018122.0
NV,60,415.0,no,no,0.0,197.0,130.0,33.49,219.2,105.0,18.63,102.8,113.0,4.63,12.6,4.0,3.4,1.0,no,11952652.0
IA,157,510.0,no,no,0.0,102.9,94.0,17.49,229.1,96.0,,198.7,129.0,8.94,13.6,2.0,3.67,1.0,no,309517738.0
UT,89,408.0,no,no,0.0,144.2,74.0,,164.7,119.0,14.0,279.2,121.0,12.56,12.1,7.0,,4.0,yes,11437191.0
GA,96,408.0,no,yes,26.0,126.5,108.0,21.51,,114.0,10.52,308.5,98.0,13.88,13.1,6.0,3.54,2.0,no,22790695.0
PA,91,415.0,no,no,0.0,139.8,109.0,23.77,157.0,91.0,,218.6,122.0,9.84,13.6,4.0,3.67,3.0,no,24839094.0
VA,104,415.0,no,no,0.0,139.7,112.0,23.75,199.8,127.0,16.98,189.3,,,10.3,,2.78,2.0,no,57274383.0
SC,40,415.0,no,no,0.0,309.4,86.0,52.6,271.3,98.0,23.06,197.1,116.0,8.87,11.2,5.0,3.02,3.0,yes,34168948.0
WV,161,415.0,no,no,0.0,159.6,102.0,27.13,212.6,119.0,18.07,151.4,83.0,6.81,12.6,7.0,3.4,5.0,yes,10936912.0
KY,131,408.0,no,yes,29.0,239.7,102.0,40.75,212.8,109.0,,187.7,77.0,8.45,10.5,2.0,2.84,1.0,no,57882763.0
KS,131,510.0,no,no,,195.6,93.0,33.25,245.0,,20.83,104.7,,4.71,13.2,6.0,,2.0,no,67810671.0
DC,79,510.0,no,no,0.0,161.1,,27.39,,111.0,14.5,274.4,80.0,12.35,7.6,2.0,2.05,2.0,no,35959436.0
AZ,130,510.0,no,yes,22.0,173.9,,,234.8,86.0,19.96,,79.0,5.48,8.4,5.0,2.27,1.0,no,28703791.0
HI,161,408.0,no,no,0.0,165.4,88.0,,209.7,111.0,17.82,270.7,129.0,12.18,10.5,3.0,2.84,4.0,no,17401688.0
MS,108,415.0,no,yes,28.0,221.3,117.0,37.62,156.0,102.0,,159.3,80.0,7.17,8.7,3.0,2.35,0.0,no,28568764.0
WV,69,415.0,yes,no,0.0,176.8,89.0,30.06,196.0,89.0,16.66,232.6,151.0,10.47,,,3.54,1.0,yes,304765399.0
NC,80,408.0,no,no,0.0,196.0,75.0,33.32,237.8,112.0,20.21,220.1,127.0,9.9,13.9,5.0,3.75,1.0,no,28706836.0
ME,146,415.0,no,no,0.0,174.3,113.0,,200.7,107.0,17.06,281.2,145.0,12.65,11.6,3.0,3.13,4.0,no,59065060.0
NJ,143,408.0,yes,no,0.0,186.9,98.0,31.77,196.5,,16.7,215.3,104.0,9.69,12.3,3.0,3.32,4.0,no,34776930.0
WA,114,510.0,yes,no,0.0,115.6,93.0,19.65,163.2,78.0,13.87,251.3,104.0,,9.7,1.0,2.62,2.0,yes,53190799.0
WY,113,408.0,no,no,0.0,158.4,107.0,26.93,142.2,104.0,12.09,174.7,,7.86,14.9,2.0,4.02,0.0,no,55617419.0
ME,29,415.0,no,yes,38.0,149.4,93.0,25.4,,96.0,16.13,127.4,71.0,5.73,6.0,3.0,1.62,1.0,no,24816571.0
MS,57,415.0,no,yes,36.0,,,41.57,161.2,,13.7,184.3,,8.29,9.7,3.0,2.62,1.0,no,23080005.0
KY,78,415.0,no,no,0.0,145.5,124.0,24.74,,,12.19,291.1,123.0,13.1,9.5,5.0,2.57,3.0,no,32086340.0
GA,120,510.0,no,no,0.0,147.7,101.0,,144.1,71.0,12.25,237.0,115.0,10.67,11.1,5.0,3.0,0.0,no,25642976.0
AL,97,415.0,no,no,0.0,164.3,106.0,27.93,182.3,97.0,15.5,,93.0,8.28,12.1,,3.27,1.0,no,5862644.0
IN,185,415.0,no,no,0.0,89.4,77.0,15.2,288.9,128.0,24.56,162.9,93.0,7.33,,2.0,2.81,3.0,no,69605723.0
AK,144,415.0,no,yes,38.0,276.3,149.0,46.97,,112.0,21.42,132.5,85.0,,8.7,3.0,2.35,1.0,no,12235594.0
AR,97,510.0,no,yes,32.0,172.7,79.0,29.36,217.4,101.0,18.48,260.7,88.0,11.73,11.7,5.0,3.16,1.0,no,25297417.0
VA,130,415.0,no,no,0.0,138.7,68.0,23.58,205.6,102.0,17.48,231.2,108.0,10.4,13.6,3.0,3.67,2.0,no,27463199.0
DC,59,415.0,no,yes,26.0,205.4,68.0,34.92,115.0,115.0,9.78,214.7,130.0,9.66,9.4,2.0,2.54,5.0,no,4609327.0
ID,139,408.0,no,no,0.0,187.4,86.0,31.86,169.3,116.0,14.39,153.4,88.0,6.9,11.7,3.0,3.16,1.0,no,54133863.0
DE,12,415.0,no,no,0.0,206.1,105.0,,246.6,104.0,,254.6,83.0,11.46,12.1,7.0,3.27,2.0,no,47858345.0
MN,42,408.0,no,yes,34.0,131.5,,22.36,185.3,109.0,15.75,177.3,117.0,7.98,10.9,5.0,2.94,0.0,no,69685485.0
WY,63,415.0,no,no,,120.1,103.0,20.42,179.2,132.0,15.23,127.3,82.0,5.73,6.3,4.0,1.7,1.0,no,32849374.0
NY,143,415.0,no,no,,,85.0,28.66,176.3,89.0,,282.3,69.0,12.7,13.3,10.0,3.59,1.0,no,69044873.0
VA,150,415.0,no,yes,29.0,235.8,91.0,40.09,202.8,,,246.3,,11.08,11.9,4.0,3.21,1.0,no,24853442.0
AR,156,510.0,no,no,0.0,189.4,114.0,32.2,145.7,96.0,12.38,192.8,121.0,8.68,4.5,13.0,1.22,0.0,no,47555545.0
TX,98,408.0,no,no,0.0,158.5,90.0,26.95,254.4,67.0,21.62,178.4,104.0,8.03,14.8,5.0,4.0,2.0,no,24975955.0
DC,17,510.0,no,yes,,280.0,101.0,47.6,258.9,85.0,22.01,230.0,130.0,10.35,10.3,2.0,2.78,3.0,no,27227545.0
NY,101,415.0,no,no,0.0,229.8,,39.07,217.8,133.0,,243.5,53.0,10.96,8.9,2.0,2.4,1.0,no,27384882.0
