movie_display_name,movie_production_year,movie_odid,movie_financial_summary_production_budget,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,production_date_year,movie_creative_type_display_name,movie_source_display_name,movie_production_method_display_name,movie_genre_display_name,movie_sequel,movie_running_time,Description
Lucy,2014,201180100,40000000,126573960,330933816,2014-01-01,"Science Fiction","Original Screenplay","Live Action",Action,0,88,NULL
"A Million Ways to Die in The West",2014,191960100,40000000,42720965,44040030,2014-01-01,"Historical Fiction","Original Screenplay","Live Action",Comedy,0,115,NULL
Paranoia,2012,176590100,40000000,7388654,8784939,2012-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,146,NULL
"Spy Kids 3-D: Game Over",2003,3490100,40000000,111760631,56091364,2003-01-01,"Kids Fiction","Original Screenplay","Live Action",Adventure,1,82,NULL
Apocalypto,2006,130090100,40000000,50866635,70165637,2006-01-01,"Historical Fiction","Original Screenplay","Live Action",Adventure,0,138,NULL
"The Karate Kid",2009,111860100,40000000,176591618,175183320,2009-01-01,"Contemporary Fiction",Remake,"Live Action",Adventure,0,140,NULL
"Ride Along 2",2016,204730100,40000000,90862685,31760780,2016-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,1,102,NULL
"Music and Lyrics",2007,10900100,40000000,50572589,95727767,2007-01-01,"Contemporary Fiction","Original Screenplay","Live Action","Romantic Comedy",0,104,NULL
"Escape From Planet Earth",2012,172370100,40000000,57012977,17143633,2012-01-01,"Kids Fiction","Original Screenplay","Digital Animation",Adventure,0,89,NULL
"Jersey Boys",2014,199800100,40000000,47047013,18235719,2014-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,132,NULL
"Fifty Shades of Grey",2013,194070100,40000000,166167230,404811240,2013-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,125,NULL
"The Impossible",2011,146740100,40000000,19019882,150570724,2011-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,114,NULL
"The Intern",2015,204330100,40000000,75764672,121468062,2015-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,121,NULL
"The Fantastic Mr. Fox",2009,116510100,40000000,21002919,26082145,2009-01-01,"Kids Fiction","Based on Fiction Book/Short Story","Stop-Motion Animation",Adventure,0,88,NULL
"Cirque du Freak: The Vampire's Assistant",2009,109380100,40000000,14046595,25707362,2009-01-01,Fantasy,"Based on Fiction Book/Short Story","Live Action",Action,0,109,NULL
"The Other Woman",2014,191860100,40000000,83911193,111200000,2014-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,109,NULL
"Final Destination 5",2011,145630100,40000000,42587643,112423522,2011-01-01,Fantasy,"Original Screenplay","Live Action",Horror,1,95,NULL
42,2012,175670100,40000000,95020213,2450488,2012-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,88,NULL
"A Thousand Words",2011,115660100,40000000,18450127,2340359,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,91,NULL
"Julie & Julia",2009,4960100,40000000,94125426,32520693,2009-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Comedy,0,122,NULL
"Horrible Bosses 2",2014,198210100,40000000,54445357,51500000,2014-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,1,108,NULL
"Victor Frankenstein",2014,193100100,40000000,5775076,27400000,2014-01-01,"Science Fiction","Based on Fiction Book/Short Story","Live Action",Thriller/Suspense,0,110,NULL
